URL,language,page_type,source_route,dynamic_or_static,expected_status,canonical,sitemap_inclusion,indexability,reachable_navigation,orphan_status
https://souliography.com/,en,root_redirect,src/pages/index.astro,static,301,https://souliography.com/en/,false,non-indexable,true,false
https://souliography.com/en/,en,homepage,src/pages/[locale]/index.astro,static,200,https://souliography.com/en/,true,indexable,true,false
https://souliography.com/de/,de,homepage,src/pages/[locale]/index.astro,static,200,https://souliography.com/de/,true,indexable,true,false
https://souliography.com/fr/,fr,homepage,src/pages/[locale]/index.astro,static,200,https://souliography.com/fr/,true,indexable,true,false
https://souliography.com/es/,es,homepage,src/pages/[locale]/index.astro,static,200,https://souliography.com/es/,true,indexable,true,false
https://souliography.com/en/report/,en,report,src/pages/[locale]/report.astro,static,200,https://souliography.com/en/report/,true,indexable,true,false
https://souliography.com/en/contact/,en,contact,src/pages/[locale]/contact.astro,static,200,https://souliography.com/en/contact/,true,indexable,true,false
https://souliography.com/en/privacy/,en,privacy,src/pages/[locale]/privacy.astro,static,200,https://souliography.com/en/privacy/,true,indexable,true,false
https://souliography.com/en/terms/,en,terms,src/pages/[locale]/terms.astro,static,200,https://souliography.com/en/terms/,true,indexable,true,false
https://souliography.com/en/disclaimer/,en,disclaimer,src/pages/[locale]/disclaimer.astro,static,200,https://souliography.com/en/disclaimer/,true,indexable,true,false
https://souliography.com/en/destiny-matrix/arcana/,en,arcana_index,src/pages/[locale]/destiny-matrix/arcana/index.astro,static,200,https://souliography.com/en/destiny-matrix/arcana/,true,indexable,true,false
https://souliography.com/en/destiny-matrix/birthdays/,en,birthdays_index,src/pages/[locale]/destiny-matrix/birthdays/index.astro,static,200,https://souliography.com/en/destiny-matrix/birthdays/,true,indexable,true,false
https://souliography.com/en/numerology/,en,numerology_index,src/pages/[locale]/numerology/index.astro,static,200,https://souliography.com/en/numerology/,true,indexable,true,false
https://souliography.com/en/calculators/life-path-number/,en,calculator,src/pages/[locale]/calculators/[slug].astro,dynamic,200,https://souliography.com/en/calculators/life-path-number/,true,indexable,true,false
https://souliography.com/en/destiny-matrix/arcana/1-the-magician/,en,arcana_detail,src/pages/[locale]/destiny-matrix/arcana/[arcanaSlug].astro,dynamic,200,https://souliography.com/en/destiny-matrix/arcana/1-the-magician/,true,indexable,true,false
https://souliography.com/en/destiny-matrix/birthdays/january-1/,en,birthday_detail,src/pages/[locale]/destiny-matrix/birthdays/[dateSlug].astro,dynamic,200,https://souliography.com/en/destiny-matrix/birthdays/january-1/,true,indexable,true,false
https://souliography.com/en/numerology/life-path-number/1/,en,numerology_number,src/pages/[locale]/numerology/[calcSlug]/[number].astro,dynamic,200,https://souliography.com/en/numerology/life-path-number/1/,true,indexable,true,false
